Ingredient List,Product Type,Marketing Category,brand_name,count_products,ct_applications
".ALPHA.-TOCOPHEROL ACETATE, D-; SODIUM SELENITE",PRESCRIPTION ANIMAL DRUG,NADA,BO-SE,1,1
ACEPROMAZINE MALEATE,PRESCRIPTION ANIMAL DRUG,ANADA,"Acepromazine maleate,ACEPROMAZINE MALEATE",2,1
ACEPROMAZINE MALEATE,PRESCRIPTION ANIMAL DRUG,NADA,"Acepromazine maleate,Acepromazine Maleate,PromAce",3,2
AFOXOLANER,PRESCRIPTION ANIMAL DRUG,NADA,NexGard,1,1
AFOXOLANER; MOXIDECTIN; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,NexGard PLUS,1,1
AFOXOLANER; PYRANTEL PAMOATE; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,NexGard PLUS,1,1
AIR,PRESCRIPTION ANIMAL DRUG,NADA,Air,1,11
AIR; CARBON DIOXIDE,PRESCRIPTION ANIMAL DRUG,NADA,Carbon Dioxide Air,1,1
ALBENDAZOLE,OTC ANIMAL DRUG,NADA,Valbazen,1,1
ALFAXALONE,PRESCRIPTION ANIMAL DRUG,NADA,ALFAXAN MULTIDOSE,1,1
ALTRENOGEST,OTC ANIMAL DRUG,ANADA,SwineMate,1,1
ALTRENOGEST,OTC ANIMAL DRUG,NADA,Matrix,1,1
ALTRENOGEST,PRESCRIPTION ANIMAL DRUG,ANADA,"Altren,OvaMed",2,2
ALTRENOGEST,PRESCRIPTION ANIMAL DRUG,NADA,ReguMate,1,1
AMIKACIN SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Amiglyde-V,1,1
AMOXICILLIN,PRESCRIPTION ANIMAL DRUG,NADA,"Amoxi-Drop,Amoxi-Mast,Amoxi-Tabs,Biomox",4,6
AMOXICILLIN ANHYDROUS; CLAVULANATE POTASSIUM,PRESCRIPTION ANIMAL DRUG,ANADA,"Betacilin Clav Drops,Clavacillin",2,2
AMOXICILLIN; CLAVULANATE POTASSIUM,PRESCRIPTION ANIMAL DRUG,ANADA,"Amoxicillin and clavulanate potassium,Amoxicillin and Clavulanate Potassium,Betacilin Clav,Kesium,UMBRELLIN",5,2
AMOXICILLIN; CLAVULANATE POTASSIUM,PRESCRIPTION ANIMAL DRUG,NADA,"Clavamox,Clavamox Drops",2,2
AMPICILLIN SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,Ampicillin Sodium,1,1
AMPICILLIN TRIHYDRATE,PRESCRIPTION ANIMAL DRUG,ANADA,Ampicillin,1,1
AMPICILLIN TRIHYDRATE,PRESCRIPTION ANIMAL DRUG,NADA,POLYFLEX,1,1
AMPROLIUM,OTC ANIMAL DRUG,ANADA,"Amprid FOR CALVES,AmproMed-P FOR POULTRY,AmproMed FOR CALVES,Cocci-Cure C FOR CALVES,Cocci Cure P FOR POULTRY,CocciAid,CocciAid for Calves",7,4
AMPROLIUM,OTC ANIMAL DRUG,NADA,"Amprol,Amprol 128,CORID",3,2
