Product Type,Marketing Category,Application Number or Monograph ID,Ingredient List,Non Proprietary Name,Proprietary Name,Labeler Name,NDC,Date_Inactive,Date_reactivated,links,ct_applications,ct_rows,prod_type_short
OTC ANIMAL DRUG,ANADA,ANADA200272,IVERMECTIN,IVERMECTIN,Ivermax Pour-On for Cattle,"Aspen Veterinary Resources, Ltd.","46066-929-06,46066-929-07,46066-929-08,46066-929-10",,,https://www.accessdata.fda.gov/spl/data/bd46353f-8b11-4ed1-9db0-f5b1e8059c78/bd46353f-8b11-4ed1-9db0-f5b1e8059c78.xml,1,4,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200272,IVERMECTIN,IVERMECTIN,Ivermectin Pour-On for Cattle,"Durvet, Inc.","30798-240-19,30798-240-20,30798-240-78",,,https://www.accessdata.fda.gov/spl/data/86eb4131-a535-4871-8240-d6280bf97b67/86eb4131-a535-4871-8240-d6280bf97b67.xml,1,3,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200272,IVERMECTIN,IVERMECTIN,Noromectin Pour-On for Cattle,Norbrook Laboratories Limited,"55529-007-06,55529-007-07,55529-007-08,55529-007-09",,,https://www.accessdata.fda.gov/spl/data/a7e1fc7a-991f-4194-9f5a-f594bd7d1fc3/a7e1fc7a-991f-4194-9f5a-f594bd7d1fc3.xml,1,4,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200315,LINCOMYCIN HYDROCHLORIDE,LINCOMYCIN,LINCOMYCIN,"Aspen Veterinary Resources, Ltd.",46066-246-04,,,https://www.accessdata.fda.gov/spl/data/8e600f64-d9b7-439f-a79e-1e6e645ae71d/8e600f64-d9b7-439f-a79e-1e6e645ae71d.xml,1,1,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200318,IVERMECTIN,IVERMECTIN,Bimectin Pour-On,"Bimeda, Inc.","61133-6014-1,61133-6014-2,61133-6014-4,61133-6014-5,61133-6014-7",,,https://www.accessdata.fda.gov/spl/data/a75b3c9f-c163-4f19-b35f-c681106fd660/a75b3c9f-c163-4f19-b35f-c681106fd660.xml,1,5,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200318,IVERMECTIN,IVERMECTIN,Ivermax POUR-ON,Aspen Veterinary Resources,"46066-751-01,46066-751-02,46066-751-03",,,https://www.accessdata.fda.gov/spl/data/e398834e-108a-4f65-ae80-ce0d0d3b9319/e398834e-108a-4f65-ae80-ce0d0d3b9319.xml,1,3,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200318,IVERMECTIN,IVERMECTIN,Ivermectin,"Durvet, Inc.","30798-840-19,30798-840-20,30798-840-78",,,https://www.accessdata.fda.gov/spl/data/f15cf4d3-6ec1-4a39-bc53-05a0437e5c25/f15cf4d3-6ec1-4a39-bc53-05a0437e5c25.xml,1,3,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200318,IVERMECTIN,IVERMECTIN,ProMectin B Pour-On,"Vedco, Inc.",50989-334-32,,,https://www.accessdata.fda.gov/spl/data/ad0a6381-ea18-43fb-8fab-9d8b6ad3fb77/ad0a6381-ea18-43fb-8fab-9d8b6ad3fb77.xml,1,1,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200318,IVERMECTIN,IVERMECTIN,Vetrimec,MWI VetOne,"13985-523-01,13985-523-08",,,https://www.accessdata.fda.gov/spl/data/597c520f-3640-45fa-9d6c-24cf7b2eaaaf/597c520f-3640-45fa-9d6c-24cf7b2eaaaf.xml,1,2,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200326,IVERMECTIN,IVERMECTIN,Bimectin,"Bimeda, Inc.",61133-6012-1,,,https://www.accessdata.fda.gov/spl/data/4cb1223d-7de1-4fa8-ae7c-73cc442d7aa0/4cb1223d-7de1-4fa8-ae7c-73cc442d7aa0.xml,1,1,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200326,IVERMECTIN,IVERMECTIN,Duramectin,Durvet,30798-837-81,,,https://www.accessdata.fda.gov/spl/data/61d971d2-2667-4fee-bd01-a5af2292bc56/61d971d2-2667-4fee-bd01-a5af2292bc56.xml,1,1,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200326,IVERMECTIN,IVERMECTIN,Ivermax,Aspen Veterinary Resources,46066-800-01,,,https://www.accessdata.fda.gov/spl/data/c1a98b9c-28f3-4daa-a07f-09e8065d6954/c1a98b9c-28f3-4daa-a07f-09e8065d6954.xml,1,1,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200326,IVERMECTIN,IVERMECTIN,Ivermectin,DURVALIS LLC,"86246-100-01,86246-100-02,86246-100-03,86246-100-04,86246-100-05,86246-100-06,86246-100-07,86246-100-08,86246-100-09,86246-100-10,86246-100-11,86246-100-12,86246-100-13",,,https://www.accessdata.fda.gov/spl/data/e3af6af9-3379-433a-975b-4c9d3357cb1a/e3af6af9-3379-433a-975b-4c9d3357cb1a.xml,1,13,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200326,IVERMECTIN,IVERMECTIN,Ivermectin,Durvet,30798-835-81,,,https://www.accessdata.fda.gov/spl/data/b5a22857-28a4-492c-95d2-93286894ec3d/b5a22857-28a4-492c-95d2-93286894ec3d.xml,1,1,OTC - Non Feed
OTC ANIMAL DRUG,ANADA,ANADA200326,IVERMECTIN,IVERMECTIN,Ivermectin,Fast Sold LLC,"86241-001-01,86241-001-02",,,https://www.accessdata.fda.gov/spl/data/a07ffcd1-2efb-42da-bff9-12b76428e0f3/a07ffcd1-2efb-42da-bff9-12b76428e0f3.xml,1,2,OTC - Non Feed
