Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Ca,96.6,30,200,,Booth Creek,,
Co,0.338,0.02,0.2,H,Booth Creek,,
Cr,0.037,0.04,3.8,L,Booth Creek,,
Cu,273,25,150,H,Booth Creek,,
Fe,155,45,220,,Booth Creek,,
K,3021,1400,4000,,Booth Creek,,
Mg,217,100,250,,Booth Creek,,
Mn,4.816,1.5,5,,Booth Creek,,
Mo,0.762,0.2,1.4,,Booth Creek,,
Na,1747,900,3000,,Booth Creek,,
P,4318,2000,4000,H,Booth Creek,,
Se,1.621,0.2,0.7,H,Booth Creek,,
Zn,186,25,125,H,Booth Creek,,
Vitamin A,83.605,50,88,,Booth Creek,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,,
Ca,63.8,30,200,,River Creek,,
Co,0.053,0.02,0.2,,River Creek,,
Cr,0.036,0.04,3.8,L,River Creek,,
Cu,23,25,150,L,River Creek,,
Fe,65,45,220,,River Creek,,
K,3103,1400,4000,,River Creek,,
Mg,178,100,250,,River Creek,,
Mn,2.409,1.5,5,,River Creek,,
Mo,0.547,0.2,1.4,,River Creek,,
Na,1259,900,3000,,River Creek,,
P,2767,2000,4000,,River Creek,,
Se,0.427,0.2,0.7,,River Creek,,
Zn,73,25,125,,River Creek,,
Vitamin A,66.586,100,200,L,River Creek,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,,
Ca,91.2,30,200,,River Creek,,
Co,0.046,0.02,0.2,,River Creek,,
Cr,0.014,0.04,3.8,L,River Creek,,
Cu,60,25,150,,River Creek,,
Fe,123,45,220,,River Creek,,
K,1763,1400,4000,,River Creek,,
Mg,121,100,250,,River Creek,,
Mn,1.416,1.5,5,L,River Creek,,
Mo,0.582,0.2,1.4,,River Creek,,
Na,1647,900,3000,,River Creek,,
P,3391,2000,4000,,River Creek,,
Se,0.754,0.2,0.7,H,River Creek,,
Zn,54,25,125,,River Creek,,
Vitamin A,30.628,100,200,L,River Creek,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Booth Creek,,
Ca,42.1,30,200,,Booth Creek,,
Co,0.823,0.02,0.2,H,Booth Creek,,
Cr,0.031,0.04,3.8,L,Booth Creek,,
Cu,123,25,150,,Booth Creek,,
Fe,106,45,220,,Booth Creek,,
K,3014,1400,4000,,Booth Creek,,
Mg,159,100,250,,Booth Creek,,
Mn,2.204,1.5,5,,Booth Creek,,
Mo,0.804,0.2,1.4,,Booth Creek,,
Na,822,900,3000,L,Booth Creek,,
P,3683,2000,4000,,Booth Creek,,
Se,0.659,0.2,0.7,,Booth Creek,,
Zn,62,25,125,,Booth Creek,,
Vitamin A,52.244,100,200,L,Booth Creek,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,jeff schurle,dystocia born dead,
